player_uuid,name,appearances,goals,assists,clean_sheets,saves
,Alisson Becker,253,0,0,103,613
,Freddie Woodman,0,0,0,0,0
,Giorgi Mamardashvili,5,0,0,1,17
,Andy Robertson,268,10,56,0,0
dxze3b3fsfl814bjcs7q6wcet,Virgil van Dijk,263,24,8,0,0
,Joe Gomez,164,0,7,0,0
,Ibrahima Konate,110,2,2,0,0
,Conor Bradley,45,1,6,0,0
,Milos Kerkez,27,1,1,0,0
,Jeremie Frimpong,13,0,1,0,0
,Giovanni Leoni,0,0,0,0,0
,Curtis Jones,144,10,9,0,0
am6ppbdrbz4ml3xsbty53o73d,Alexis Mac Allister,96,12,12,0,0
avh60ensgiwz1qalvn1bbqkfd,Dominik Szoboszlai,96,13,11,0,0
,Ryan Gravenberch,90,5,7,0,0
,Wataru Endo,57,1,1,0,0
,Florian Wirtz,25,4,2,0,0
,Trey Nyoni,3,0,0,0,0
,Mohamed Salah,309,189,92,0,0
,Cody Gakpo,118,31,14,0,0
,Federico Chiesa,27,2,1,0,0
,Hugo Ekitike,26,11,4,0,0
,Rio Ngumoha,11,1,0,0,0
,Alexander Isak,16,3,1,0,0
